date,precinct,margin.swing,swing_democrat
3/20/2021,Louisiana HD-05,D+6,6
4/24/2021,Louisiana HD-02,D+3,3
6/1/2021,New Mexico HD-01,D+5,5
7/27/2021,Texas HD-06,D+1,1
11/2/2021,Ohio HD-11,R+1,-1
11/2/2021,Ohio HD-15,R+13,-13
6/7/2022,California HD-22,R+2,-2
6/14/2022,Texas HD-34,D+10,10
6/28/2022,Nebraska HD-01,R+7,-7
8/9/2022,Minnesota HD-01,D+7,7
8/16/2022,Alaska HD,D+13,13
8/23/2022,New York HD-19,0,0
8/23/2022,New York HD-23,D+4,4
1/10/2023,Virginia SD-07,R+2,-2
1/10/2023,Virginia HD-24,D+14,14
1/10/2023,Virginia HD-35,R+4,-4
1/31/2023,Georgia SD-11,R+20,-20
1/31/2023,Georgia HD-119,R+26,-26
1/31/2023,Pennsylvania SD-27,D+3,3
2/7/2023,Pennsylvania HD-32,D+29,29
2/7/2023,Pennsylvania HD-34,D+19,19
2/7/2023,Pennsylvania HD-35,D+37,37
2/18/2023,Louisiana HD-93,D+13,13
2/21/2023,Kentucky SD-19,D+29,29
2/21/2023,N.H. Strafford HD-08,D+13,13
2/21/2023,Virginia CD-04,D+18,18
2/28/2023,Connecticut HD-100,D+11,11
2/28/2023,Connecticut HD-148,R+14,14
3/21/2023,Georgia HD-75,D+9,9
3/28/2023,Virginia SD-09,D+32,32
4/4/2023,Wisconsin SD-08,D+9,9
5/16/2023,N.H. Hillsborough HD-03,D+20,20
5/16/2023,Pennsylvania HD-108,D+17,17
5/16/2023,Pennsylvania HD-163,D+3,3
6/13/2023,Maine HD-45,D+7,7
7/18/2023,Wisconsin AD-24,D+15,15
8/3/2023,Tennessee HD-03,D+18,18
8/3/2023,Tennessee HD-52,D+19,19
8/22/2023,N.H. Grafton HD-16,D+20,20
9/12/2023,New York AD-27,R+2,-2
9/14/2023,Tennessee HD-51,D+15,15
9/19/2023,Pennsylvania HD-21,D+13,13
9/19/2023,N.H. Rockingham HD-01,D+18,18
1/18/2024,Florida HD-35,D+11,11
2/13/2024,Pennsylvania HD-140,D+25,25
3/26/2024,Alabama HD-10,D+36,36
4/30/2024,New York HD-26,D+27,27
5/17/2024,Jacksonville Florida,D+24,24
6/11/2024,Ohio HD-6,D+20,20
10/8/2024,Fairbanks Alaska,D+15,15
